Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
3/4/2016,2016,3,4,Friday,9,2016-09,200.01,201.35,199.03,200.43,129293600,179.03,0.003253517,174.0864286,173.0648
3/7/2016,2016,3,7,Monday,10,2016-10,199.34,201.07,199.25,200.59,100219000,179.17,0.000798191,174.7757143,173.0128
3/8/2016,2016,3,8,Tuesday,10,2016-10,199.32,199.92,198.21,198.4,123974900,177.21,-0.010917599,175.1278571,172.8766
3/9/2016,2016,3,9,Wednesday,10,2016-10,199.36,199.79,198.43,199.38,94801200,178.09,0.004939234,175.5928571,172.764
3/10/2016,2016,3,10,Thursday,10,2016-10,199.96,201.07,197.38,199.54,156838700,178.23,0.000802738,176.0735714,172.6626
3/11/2016,2016,3,11,Friday,10,2016-10,201.26,202.81,199.52,202.76,137964500,181.11,0.01613699,176.5828571,172.5798
3/14/2016,2016,3,14,Monday,11,2016-11,202.16,203.04,201.77,202.5,73612000,180.88,-0.001281977,177.2328571,172.5186
3/15/2016,2016,3,15,Tuesday,11,2016-11,201.36,202.53,201.05,202.17,93169100,180.58,-0.001630089,177.805,172.4882
3/16/2016,2016,3,16,Wednesday,11,2016-11,201.6,203.82,201.55,203.34,129303200,181.63,0.005787084,178.3028571,172.5296
3/17/2016,2016,3,17,Thursday,11,2016-11,203.24,205.23,202.77,204.63,134278500,182.78,0.00634422,178.9114286,172.588
3/18/2016,2016,3,18,Friday,11,2016-11,204.17,204.78,203.8,204.38,138372400,183.5,0.003929997,179.6692857,172.7062
3/21/2016,2016,3,21,Monday,12,2016-12,204.07,204.94,203.8,204.67,72926700,183.76,0.001418793,180.155,172.9148
3/22/2016,2016,3,22,Tuesday,12,2016-12,203.76,205.23,203.57,204.56,97471900,183.66,-0.000537667,180.5771429,173.1594
3/23/2016,2016,3,23,Wednesday,12,2016-12,204.11,204.33,203.01,203.21,81052500,182.45,-0.006599288,180.8628571,173.3764
3/24/2016,2016,3,24,Thursday,12,2016-12,202,203.16,201.74,203.12,84360900,182.37,-0.000442925,181.1014286,173.5642
3/28/2016,2016,3,28,Monday,13,2016-13,203.61,203.86,202.71,203.24,62408200,182.47,0.000590801,181.3371429,173.8402
3/29/2016,2016,3,29,Tuesday,13,2016-13,202.76,205.25,202.4,205.12,92922900,184.16,0.009250055,181.8335714,174.0946
3/30/2016,2016,3,30,Wednesday,13,2016-13,206.3,206.87,205.59,206.02,86365300,184.97,0.004387762,182.325,174.4388
3/31/2016,2016,3,31,Thursday,13,2016-13,205.91,206.41,205.33,205.52,94584100,184.52,-0.002427198,182.7742857,174.7696
4/1/2016,2016,4,1,Friday,13,2016-13,204.35,207.14,203.98,206.92,114423500,185.78,0.006812327,183.1078571,175.1686
4/4/2016,2016,4,4,Monday,14,2016-14,206.83,207.07,205.89,206.25,63497000,185.18,-0.003238067,183.415,175.537
4/5/2016,2016,4,5,Tuesday,14,2016-14,204.67,206.26,203.89,204.19,99662200,183.33,-0.009987936,183.6114286,175.8
4/6/2016,2016,4,6,Wednesday,14,2016-14,204.19,206.49,203.98,206.42,91839800,185.33,0.010921111,183.8757143,176.1546
4/7/2016,2016,4,7,Thursday,14,2016-14,205.14,205.56,203.09,203.95,113859000,183.11,-0.011965841,183.8992857,176.419
4/8/2016,2016,4,8,Friday,14,2016-14,205.34,205.85,203.87,204.5,95040600,183.61,0.002696825,183.9071429,176.7304
4/11/2016,2016,4,11,Monday,15,2016-15,205.25,206.07,203.91,204.02,83757500,183.17,-0.002347174,183.865,177.0154
4/12/2016,2016,4,12,Tuesday,15,2016-15,204.22,206.25,203.7,205.92,115350600,184.88,0.009312737,183.9521429,177.2524
4/13/2016,2016,4,13,Wednesday,15,2016-15,207,208.1,206.84,208,96336400,186.75,0.01010092,184.2592857,177.528
4/14/2016,2016,4,14,Thursday,15,2016-15,208.07,208.6,207.6,208.01,65212900,186.76,4.79E-05,184.5728571,177.8662
4/15/2016,2016,4,15,Friday,15,2016-15,208.01,208.17,207.4,207.78,75761600,186.55,-0.001105538,184.8642857,178.1798
4/18/2016,2016,4,18,Monday,16,2016-16,207.78,209.28,207,209.24,82531000,187.86,0.007026801,185.1285714,178.5142
