Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
3/31/2016,2016,3,31,Thursday,13,2016-13,10.43,10.43,10.43,10.43,0,9.4,0.001921405,9.337857143,9.274
4/1/2016,2016,4,1,Friday,13,2016-13,10.45,10.45,10.45,10.45,0,9.41,0.001917416,9.344285714,9.277
4/4/2016,2016,4,4,Monday,14,2016-14,10.45,10.45,10.45,10.45,0,9.41,0,9.351428571,9.28
4/5/2016,2016,4,5,Tuesday,14,2016-14,10.41,10.41,10.41,10.41,0,9.38,-0.003827796,9.357857143,9.2816
4/6/2016,2016,4,6,Wednesday,14,2016-14,10.45,10.45,10.45,10.45,0,9.41,0.003842504,9.365714286,9.284
4/7/2016,2016,4,7,Thursday,14,2016-14,10.43,10.43,10.43,10.43,0,9.4,-0.001913746,9.371428571,9.2862
4/8/2016,2016,4,8,Friday,14,2016-14,10.43,10.43,10.43,10.43,0,9.4,0,9.375,9.289
4/11/2016,2016,4,11,Monday,15,2016-15,10.42,10.42,10.42,10.42,0,9.39,-0.000958911,9.378571429,9.2918
4/12/2016,2016,4,12,Tuesday,15,2016-15,10.43,10.43,10.43,10.43,0,9.4,0.000959831,9.382142857,9.2938
4/13/2016,2016,4,13,Wednesday,15,2016-15,10.47,10.47,10.47,10.47,0,9.43,0.003834933,9.388571429,9.2962
4/14/2016,2016,4,14,Thursday,15,2016-15,10.48,10.48,10.48,10.48,0,9.44,0.000955045,9.395714286,9.2994
4/15/2016,2016,4,15,Friday,15,2016-15,10.49,10.49,10.49,10.49,0,9.45,0.000954336,9.404285714,9.3036
4/18/2016,2016,4,18,Monday,16,2016-16,10.5,10.5,10.5,10.5,0,9.46,0.000953224,9.411428571,9.308
4/19/2016,2016,4,19,Tuesday,16,2016-16,10.51,10.51,10.51,10.51,0,9.47,0.000952417,9.417857143,9.3134
4/20/2016,2016,4,20,Wednesday,16,2016-16,10.53,10.53,10.53,10.53,0,9.49,0.001902921,9.424285714,9.3208
4/21/2016,2016,4,21,Thursday,16,2016-16,10.52,10.52,10.52,10.52,0,9.48,-0.000949603,9.429285714,9.328
4/22/2016,2016,4,22,Friday,16,2016-16,10.52,10.52,10.52,10.52,0,9.48,0,9.434285714,9.3348
4/25/2016,2016,4,25,Monday,17,2016-17,10.51,10.51,10.51,10.51,0,9.47,-0.000950607,9.440714286,9.3416
4/26/2016,2016,4,26,Tuesday,17,2016-17,10.51,10.51,10.51,10.51,0,9.47,0,9.445,9.3482
4/27/2016,2016,4,27,Wednesday,17,2016-17,10.52,10.52,10.52,10.52,0,9.48,0.000951511,9.450714286,9.3542
4/28/2016,2016,4,28,Thursday,17,2016-17,10.52,10.52,10.52,10.52,0,9.48,0,9.456428571,9.3596
4/29/2016,2016,4,29,Friday,17,2016-17,10.52,10.52,10.52,10.52,0,9.48,0,9.462857143,9.3652
5/2/2016,2016,5,2,Monday,18,2016-18,10.54,10.54,10.54,10.54,0,9.49,0.001901012,9.469285714,9.3708
5/3/2016,2016,5,3,Tuesday,18,2016-18,10.5,10.5,10.5,10.5,0,9.46,-0.003795011,9.471428571,9.3754
